outcome,term,order,df,ss,ms,f,p,variance_share,partial_eta_squared,omega_squared,scale
task_throughput_img_s,Device block,0,2,0.05479494776127296,0.02739747388063648,1.4121699123381968,0.24652519868466818,0.0014802487116187357,0.016729458723839602,0.00043181375024711174,natural logarithm
task_throughput_img_s,Device-by-configuration residual,-1,166,3.2205619341197744,0.01940097550674563,,,0.08700131761122772,,,natural logarithm
time_weighted_avg_power_W,Model,1,1,2.2253694988909034,2.2253694988909034,428.51859995778256,7.491578252841408e-48,0.3369408587616386,0.7207824952629105,0.3358904584328776,natural logarithm
time_weighted_avg_power_W,Precision,1,1,1.25307309178437,1.25307309178437,241.2925706062858,3.54719597888083e-34,0.189726480859629,0.5924305720752617,0.18879174311230026,natural logarithm
time_weighted_avg_power_W,Batch,1,6,0.3793027475335201,0.06321712458892002,12.173130680411454,2.525911499108258e-11,0.057429830663307146,0.3055520231280554,0.05267066256407729,natural logarithm
time_weighted_avg_power_W,Profile,1,2,1.09857931472556,0.54928965736278,105.77157414159737,2.4029464144278257e-30,0.16633474032329637,0.5603151566785062,0.16463270637876598,natural logarithm
time_weighted_avg_power_W,Model:Precision,2,1,0.1311677072432768,0.1311677072432768,25.257739128524296,1.287774919817365e-06,0.019859964802416637,0.13206126582700642,0.01905868684363625,natural logarithm
time_weighted_avg_power_W,Model:Batch,2,6,0.03834695473674972,0.00639115912279162,1.230685762868155,0.2930430189055416,0.0058060721450229405,0.0425881840168278,0.0010874635159926268,natural logarithm
time_weighted_avg_power_W,Model:Profile,2,2,0.08286692402316512,0.04143346201158256,7.97845442811012,0.0004915657705539261,0.012546793940159744,0.08769608670825005,0.010965587262132327,natural logarithm
time_weighted_avg_power_W,Precision:Batch,2,6,0.06532223925414482,0.010887039875690804,2.0964154885472737,0.05622318742799649,0.009890371644571452,0.07043677390716808,0.005168554085610567,natural logarithm
time_weighted_avg_power_W,Precision:Profile,2,2,0.041938036063069055,0.020969018031534527,4.037807768031778,0.019396453363595786,0.006349793997315768,0.046391423124915024,0.00477345614406443,natural logarithm
time_weighted_avg_power_W,Batch:Profile,2,12,0.07954822508777963,0.006629018757314969,1.276488168995863,0.23672084652298342,0.01204431321962438,0.0844806915024834,0.0026067564174599616,natural logarithm
time_weighted_avg_power_W,Model:Precision:Batch,3,6,0.07265064052649277,0.012108440087748794,2.3316091088067767,0.03454865000933484,0.010999957184988645,0.0777247707920966,0.006277267852973025,natural logarithm
time_weighted_avg_power_W,Model:Precision:Profile,3,2,0.024459899100985904,0.012229949550492952,2.3550070500847085,0.09805606377343065,0.003703447635287849,0.027590731129608304,0.00212918894886762,natural logarithm
time_weighted_avg_power_W,Model:Batch:Profile,3,12,0.030961272913753557,0.0025801060761461297,0.4968269062929713,0.914457252198408,0.004687813816587682,0.03467001750051103,0.0,natural logarithm
time_weighted_avg_power_W,Precision:Batch:Profile,3,12,0.07303856536183215,0.0060865471134860126,1.172029475980507,0.3070552013503126,0.01105869247691179,0.07810737340206311,0.0016219100518227623,natural logarithm
time_weighted_avg_power_W,Model:Precision:Batch:Profile,4,12,0.025862337338043963,0.0021551947781703303,0.4150057100351897,0.9561766326800789,0.003915789335931274,0.0291266026708104,0.0,natural logarithm
time_weighted_avg_power_W,Device block,0,2,0.12007588667153361,0.06003794333576681,11.560945467891816,1.9925158342928772e-05,0.018180563898191168,0.12225919919357552,0.016594930910819324,natural logarithm
time_weighted_avg_power_W,Device-by-configuration residual,-1,166,0.8620660499970927,0.005193168975886101,,,0.13052451529511766,,,natural logarithm
