progress_percent,slow_cpu_MHz,slow_gpu_MHz,slow_temperature_C,slow_power_W,medium_cpu_MHz,medium_gpu_MHz,medium_temperature_C,medium_power_W,fast_cpu_MHz,fast_gpu_MHz,fast_temperature_C,fast_power_W
73.0,729.0,397.8200000000014,40.095749999999995,5.722830000000007,1155.500000000002,351.9199999999971,38.521240000000006,6.081059999999991,729.0,407.0,39.06550000000001,5.765090000000004
74.0,729.0,305.0,40.207,5.0328,1155.4400000000032,550.9999999999861,38.51688000000001,6.130999999999993,729.0,407.0,38.78365999999999,5.504820000000019
75.0,729.0,330.5,40.15625,5.27425,1075.0,356.0,38.609,6.039,729.0,407.0,38.75725000000001,5.115500000000024
76.0,729.0,305.0,40.253479999999996,5.653039999999996,1042.6400000000142,305.0,38.593,5.696399999999997,729.0,407.0,38.82691999999998,5.328679999999981
77.0,729.0,305.0,40.28813,5.340410000000006,977.940000000013,489.91999999998865,38.46101999999999,5.7937799999999715,729.0,407.0,38.728930000000005,5.347990000000005
78.0,729.0,305.0,40.33294000000001,4.988859999999992,1109.0400000000002,708.5600000000001,38.51972,6.017239999999997,729.0,407.54,38.842759999999984,5.3995799999999745
79.0,729.0,305.0,40.236839999999994,5.514529999999991,996.3799999999965,708.0,38.57048,6.380400000000001,729.0,407.5299999999999,38.89425000000003,5.340870000000034
80.0,729.0,366.1999999999964,40.230999999999995,5.369000000000002,1190.0,305.0,38.52499999999999,5.697599999999994,729.0,407.0,38.9748,5.537000000000013
81.0,729.0,305.0,40.260389999999994,5.263600000000006,1190.0,305.0,38.55193999999998,5.334360000000023,729.0,407.0,38.88648000000001,4.7683299999999935
82.0,729.0,305.0,40.39663999999999,4.940780000000029,1107.1999999999964,488.6000000000078,38.388000000000005,5.833680000000011,729.0,407.0,38.79056,5.550499999999993
83.0,729.0,305.0,40.11757000000001,5.160980000000038,1190.0,305.0,38.364419999999996,5.496200000000005,729.0,407.0,38.797500000000014,5.2083800000000355
84.0,729.0,333.8399999999935,40.27931999999999,5.31323999999996,1190.0,305.0,38.285959999999996,5.632240000000003,729.0,407.0,38.949279999999995,5.17452000000002
85.0,729.0,310.1000000000063,40.27474999999999,4.957100000000027,1179.5000000000005,426.4999999999948,38.62440000000001,5.553299999999996,729.0,407.0,38.81824999999999,4.9626999999999795
86.0,729.0,368.23999999999893,40.28372,5.553259999999993,1190.0,305.0,38.360640000000004,5.583399999999999,729.0,407.0,38.8405,5.606579999999993
