device_block,fast_sequence_index,fast_start_timestamp_utc,fast_metadata_timestamp_utc,fast_prefix,model,precision,batch,realized_fast_regime,fast_cpu_mode_MHz,fast_gpu_mode_MHz,immediate_predecessor_sequence_index,immediate_predecessor_start_timestamp_utc,immediate_predecessor_prefix,immediate_predecessor_profile,immediate_predecessor_fast_regime,immediate_predecessor_state,expected_regime_from_immediate_predecessor,immediate_rule_match,last_nonfast_sequence_index,last_nonfast_start_timestamp_utc,last_nonfast_prefix,last_nonfast_profile,expected_regime_from_last_nonfast,last_nonfast_rule_match
Clone2,15,2026-07-03T20:57:31.834442377+00:00,2026-07-03T21:33:01+00:00,resnet50_fp32_fast_BS64,resnet50,fp32,64,low,729.0,407.0,14,2026-07-03T07:54:55.265593052+00:00,resnet50_fp64_slow_BS64,slow,not_applicable,slow,low,True,14,2026-07-03T07:54:55.265593052+00:00,resnet50_fp64_slow_BS64,slow,low,True
Clone2,20,2026-07-04T11:37:36.892134428+00:00,2026-07-04T12:25:14+00:00,mobilenet_v2_fp64_fast_BS32,mobilenet_v2,fp64,32,high,1190.0,812.0,19,2026-07-04T10:58:31.158956289+00:00,mobilenet_v2_fp16_medium_BS1,medium,not_applicable,medium,high,True,19,2026-07-04T10:58:31.158956289+00:00,mobilenet_v2_fp16_medium_BS1,medium,high,True
Clone2,21,2026-07-04T12:25:18.862280607+00:00,2026-07-04T13:17:07+00:00,mobilenet_v2_fp64_fast_BS64,mobilenet_v2,fp64,64,high,1190.0,812.0,20,2026-07-04T11:37:36.892134428+00:00,mobilenet_v2_fp64_fast_BS32,fast,high,fast-high,high,True,19,2026-07-04T10:58:31.158956289+00:00,mobilenet_v2_fp16_medium_BS1,medium,high,True
Clone2,26,2026-07-04T15:53:58.516534089+00:00,2026-07-04T16:17:47+00:00,mobilenet_v2_fp32_fast_BS128,mobilenet_v2,fp32,128,low,729.0,407.0,25,2026-07-04T15:17:21.724222422+00:00,resnet50_fp32_slow_BS128,slow,not_applicable,slow,low,True,25,2026-07-04T15:17:21.724222422+00:00,resnet50_fp32_slow_BS128,slow,low,True
Clone2,28,2026-07-04T16:40:58.615416527+00:00,2026-07-04T17:30:59+00:00,mobilenet_v2_fp64_fast_BS16,mobilenet_v2,fp64,16,high,1190.0,812.0,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,not_applicable,medium,high,True,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,high,True
Clone2,29,2026-07-04T17:31:05.612313271+00:00,2026-07-04T23:31:23+00:00,resnet50_fp64_fast_BS16,resnet50,fp64,16,high,1190.0,812.0,28,2026-07-04T16:40:58.615416527+00:00,mobilenet_v2_fp64_fast_BS16,fast,high,fast-high,high,True,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,high,True
Clone2,30,2026-07-04T23:31:29.829585552+00:00,2026-07-04T23:46:13+00:00,mobilenet_v2_fp32_fast_BS32,mobilenet_v2,fp32,32,high,1190.0,813.0,29,2026-07-04T17:31:05.612313271+00:00,resnet50_fp64_fast_BS16,fast,high,fast-high,high,True,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,high,True
Clone2,31,2026-07-04T23:46:17.699628353+00:00,2026-07-05T06:20:15+00:00,resnet50_fp64_fast_BS4,resnet50,fp64,4,high,1190.0,812.0,30,2026-07-04T23:31:29.829585552+00:00,mobilenet_v2_fp32_fast_BS32,fast,high,fast-high,high,True,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,high,True
Clone2,32,2026-07-05T06:20:21.409122229+00:00,2026-07-05T13:31:00+00:00,resnet50_fp64_fast_BS1,resnet50,fp64,1,high,1190.0,812.0,31,2026-07-04T23:46:17.699628353+00:00,resnet50_fp64_fast_BS4,fast,high,fast-high,high,True,27,2026-07-04T16:17:53.310902119+00:00,resnet50_fp32_medium_BS64,medium,high,True
Clone2,36,2026-07-05T16:28:38.232851267+00:00,2026-07-05T18:04:46+00:00,mobilenet_v2_fp64_fast_BS1,mobilenet_v2,fp64,1,low,729.0,407.0,35,2026-07-05T14:51:14.089430094+00:00,mobilenet_v2_fp64_slow_BS64,slow,not_applicable,slow,low,True,35,2026-07-05T14:51:14.089430094+00:00,mobilenet_v2_fp64_slow_BS64,slow,low,True
Clone2,37,2026-07-05T18:04:57.502977848+00:00,2026-07-05T19:10:26+00:00,resnet50_fp16_fast_BS1,resnet50,fp16,1,low,729.0,407.0,36,2026-07-05T16:28:38.232851267+00:00,mobilenet_v2_fp64_fast_BS1,fast,low,fast-low,low,True,35,2026-07-05T14:51:14.089430094+00:00,mobilenet_v2_fp64_slow_BS64,slow,low,True
Clone2,38,2026-07-05T19:10:41.004717112+00:00,2026-07-05T19:37:34+00:00,resnet50_fp16_fast_BS32,resnet50,fp16,32,low,729.0,407.0,37,2026-07-05T18:04:57.502977848+00:00,resnet50_fp16_fast_BS1,fast,low,fast-low,low,True,35,2026-07-05T14:51:14.089430094+00:00,mobilenet_v2_fp64_slow_BS64,slow,low,True
