dataset,model,batch,profile,task_energy_per_eval_image_J_fp16,task_energy_per_eval_image_J_fp32,task_throughput_img_s_fp16,task_throughput_img_s_fp32,throughput_img_s_fp16,throughput_img_s_fp32,forward_throughput_fp16_over_fp32,logged_window_energy_fp16_over_fp32,logged_window_throughput_fp16_over_fp32,fp16_forward_faster,fp16_logged_window_energy_lower,fp16_logged_window_throughput_faster
Clone3,mobilenet_v2,4,fast,0.12986087999999998,0.14043868,47.61904761904762,49.9001996007984,134.82239869249736,152.25278109512308,0.8855168209260117,0.92468029463108,0.9542857142857143,False,True,False
Clone3,mobilenet_v2,4,medium,0.12014140999999999,0.15040205,46.3821892393321,41.35649296939619,128.94092664604318,96.05845373960749,1.3423173247778124,0.798801678567546,1.1215213358070502,True,True,True
Clone3,mobilenet_v2,4,slow,0.16324077,0.18319552000000003,31.5059861373661,31.017369727047146,87.6182092894694,85.39168652546066,1.0260742333897444,0.8910740284478571,1.015752993068683,True,True,True
Clone3,mobilenet_v2,8,fast,0.13592754,0.13160414,39.494470774091624,54.229934924078094,184.39614962629952,191.516516656091,0.9628211333721277,1.0328515501108095,0.7282780410742495,False,False,False
Clone3,mobilenet_v2,8,medium,0.11385727999999999,0.13895299,50.8130081300813,46.728971962616825,172.00421135449685,124.39657754293836,1.3827085499609153,0.8193942426139948,1.0873983739837398,True,True,True
Clone3,mobilenet_v2,8,slow,0.13870358,0.17180904000000002,38.37298541826554,33.3555703802535,167.1924806342399,101.16230765123912,1.6527151714514294,0.8073124673765709,1.150422102839601,True,True,True
Clone3,mobilenet_v2,16,fast,0.13094102000000002,0.16332963,41.459369817578775,35.43586109142452,222.07332355048575,122.1668335045707,1.817787341948068,0.8016978915583168,1.169983416252073,True,True,True
Clone3,mobilenet_v2,16,medium,0.10752293,0.13872434,54.34782608695652,45.8295142071494,230.4884470101006,148.69521723830766,1.5500730372565132,0.7750833775817567,1.1858695652173914,True,True,True
Clone3,mobilenet_v2,16,slow,0.13393038000000002,0.16525989000000002,39.96802557953637,34.65003465003465,194.1431236343569,112.93539328399515,1.7190635990096672,0.8104227831689831,1.1534772182254198,True,True,True
Clone3,mobilenet_v2,32,fast,0.12991597,0.16250417,41.63197335553705,35.7653791130186,226.95640698798687,126.37454061513334,1.7959029238268016,0.7994623768731596,1.1640299750208158,True,True,True
Clone3,mobilenet_v2,32,medium,0.10542564999999998,0.1272225,55.74136008918617,52.63157894736842,280.4302828054849,175.34750032275286,1.5992830367659177,0.8286714221147988,1.0590858416945375,True,True,True
Clone3,mobilenet_v2,32,slow,0.13117281,0.16278684,40.816326530612244,35.41076487252125,211.42511753025275,121.51046730035428,1.739974524232912,0.8057949278946628,1.1526530612244896,True,True,True
Clone3,mobilenet_v2,64,fast,0.13153989,0.13151254,41.01722723543888,54.46623093681917,242.42506778547204,204.63525504234036,1.1846691213364613,1.000207964959083,0.7530762920426578,True,False,False
Clone3,mobilenet_v2,64,medium,0.09898847,0.13600063,60.53268765133172,49.554013875123886,337.33368906553176,190.03978249994677,1.7750688020579388,0.7278530253867206,1.221549636803874,True,True,True
