model,precision,profile,batch,throughput_img_s_mean,throughput_img_s_std,throughput_img_s_min,throughput_img_s_max,latency_avg_ms_mean,latency_avg_ms_std,latency_avg_ms_min,latency_avg_ms_max,avg_power_W_mean,avg_power_W_std,avg_power_W_min,avg_power_W_max,energy_per_img_J_avg_power_times_meta_duration_mean,energy_per_img_J_avg_power_times_meta_duration_std,energy_per_img_J_avg_power_times_meta_duration_min,energy_per_img_J_avg_power_times_meta_duration_max,energy_per_img_J_integrated_log_timestamps_mean,energy_per_img_J_integrated_log_timestamps_std,energy_per_img_J_integrated_log_timestamps_min,energy_per_img_J_integrated_log_timestamps_max,energy_per_img_J_power_over_throughput_proxy_mean,energy_per_img_J_power_over_throughput_proxy_std,energy_per_img_J_power_over_throughput_proxy_min,energy_per_img_J_power_over_throughput_proxy_max
resnet50,fp16,slow,128,117.21174279985826,0.03449818831334006,117.17818206975953,117.24710764884807,1090.993463469588,0.32109780198814103,1090.6643278114057,1091.3058693429246,6.097686123385905,0.23130331670334228,5.923164955509925,6.360040955631399,0.17100559367625826,0.006675987792714435,0.16583109697090792,0.17854130147538858,0.18037214666666668,0.006882567873376445,0.17501656999999998,0.18813502000000001,0.05202252497319809,0.0019610392446556763,0.05053466474060823,0.05424475778694302
resnet50,fp32,fast,1,28.51432913185784,7.993192261667526,23.552570401541967,37.735151765217836,36.72895411711972,8.879435155017555,26.50048968192423,42.45821084286116,7.732406312635394,1.1431060854285626,6.90388664351121,9.03653012048193,0.42783544988811784,0.04812359614505695,0.3750423641420476,0.4692502509487258,0.4311714066666667,0.04774916021340828,0.37888383999999997,0.47246412,0.27740595524472117,0.03488546597198337,0.23947247321822884,0.30811083674493317
resnet50,fp32,fast,4,50.83833935889953,15.18072692118406,33.31062117389975,59.79915346144857,84.76884069011392,30.58274085927902,66.8905790209677,120.08181952290236,8.904816914913576,1.2773606706316911,7.430900855365475,9.690033311125916,0.3204566549998381,0.05372209781176695,0.2886711407397436,0.38248318073503024,0.32423113666666664,0.05389319650341246,0.29231798,0.38645475999999995,0.18220492205444583,0.035399079589356994,0.16149275758327367,0.22307902385164446
resnet50,fp32,fast,8,59.65371710920581,17.353897628082535,39.616664233478616,69.88472161053303,143.86134968609238,50.294670267492,114.47423436246812,201.93522485518827,8.582975223173152,1.1239119497418846,7.285209302325581,9.23740631730079,0.28158299706549106,0.043164692644659136,0.25603215591157413,0.3314199418738323,0.28579236,0.04331064021519306,0.26002161,0.33579528999999997,0.14963424458287888,0.02967033465120009,0.1321806269585043,0.18389254732277818
resnet50,fp32,fast,16,43.49133852818657,0.01738993113906332,43.47655017608666,43.51049655507918,367.8893831874375,0.14707912917326532,367.7273592992872,368.0144798793271,7.054263185264868,0.22755120068772625,6.882521921641791,7.3123495327102805,0.3002562606500801,0.009402071741413979,0.2926550838825637,0.3107699360169201,0.30584289000000003,0.009360987971624551,0.29845057,0.31636864,0.16220046915959457,0.005287879385674888,0.15818072572279948,0.1681906568735134
resnet50,fp32,fast,32,67.61075854162904,19.37021010938931,45.24439889069264,78.91438194563526,506.34363260027845,173.81238979880007,405.37304464716914,707.0436133550327,8.644028536424004,1.5760040558371855,6.859900857959962,9.846664596273293,0.2551503007263092,0.02544461505450524,0.23345685407762826,0.2831572750583587,0.26251926333333336,0.02599709641793166,0.24027616000000002,0.29109883000000003,0.13122760776500322,0.01813501637367284,0.11690543507512095,0.15161878654931435
resnet50,fp32,fast,64,58.8932289495356,20.35896733726242,47.127018381394784,82.40173544008486,1162.9029223985196,335.12182809081037,775.9377710233011,1356.7295602785991,7.741375783760065,1.2461996448434831,6.841171401515152,9.163711284046693,0.26732525188148143,0.03519018953166697,0.22761164151981297,0.2946299630301586,0.2793850266666667,0.036584401990205226,0.23812552000000003,0.30786706,0.13649520263480738,0.022270566363223405,0.11120774623381227,0.15318695970310794
resnet50,fp32,fast,128,58.679803475374285,20.05406819645372,47.100697164214985,81.8362467959826,2330.815993860125,665.2954295519123,1562.5990054316615,2714.9754791489127,7.698022619825422,1.2808968857372227,6.708998217468806,9.14493698424606,0.2686028826490036,0.03519623691216764,0.22857930985245123,0.2947269769769194,0.28949750333333335,0.03792587598785601,0.24644270000000001,0.31795924,0.13596550418202713,0.021717912277550662,0.11174677899200762,0.15371026617043587
resnet50,fp32,medium,1,34.61642005342831,0.5454502472602389,34.25197231065076,35.24350272750005,28.89276573347767,0.45132163423997573,28.37402422034836,29.19539905411657,8.353261899970668,0.2594288004758766,8.066107142857142,8.570730493273542,0.37054005621644986,0.013178214569205175,0.3573392887582744,0.3836956015086414,0.3737082266666667,0.013103409975137528,0.36046508,0.38666728,0.24132348753319718,0.007280886696141079,0.23549321684897428,0.24948431338214969
resnet50,fp32,medium,4,55.15500199288133,0.304040469540262,54.811156275529896,55.388310510408054,72.5243604805336,0.4008362966892675,72.21740405402612,72.97784377859905,9.26511556206926,0.5513188238534161,8.732434104046243,9.833350798722044,0.29974711340720256,0.009408057455372204,0.28923954596264717,0.30738937255999527,0.3032714033333333,0.009374364628796648,0.29286078,0.31104438,0.16796048602806976,0.009375970379591878,0.15931855296299935,0.17792915698214795
