factor,numerator,denominator,metric,group,n,geomean_ratio,geomean_ratio_ci95_low,geomean_ratio_ci95_high,median_ratio,median_percent_change,mean_num,mean_den,wilcoxon_p,rank_biserial_num_gt_den,wilcoxon_p_holm
batch,128,1,energy_per_img_J_avg_power_times_meta_duration,model=mobilenet_v2|precision=fp64,9,1.0065435887739242,0.95110093053679,1.0652181735644948,0.9719154154128952,-2.8084584587104833,0.5024428376364998,0.49212466946748595,0.65234375,-0.2,1.0
batch,128,1,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp16,9,0.4311009476971643,0.3987490972158392,0.46607761222038674,0.4425218611510451,-55.74781388489549,0.15321326979419284,0.3566111429678479,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp32,9,0.6273369034876062,0.5841091977109515,0.6737637277750392,0.6282584027033742,-37.174159729662584,0.26161164154402283,0.4167294586469,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_avg_power_times_meta_duration,model=resnet50|precision=fp64,9,0.88539640777097,0.8044865998750473,0.9744435755865877,0.9149619195092183,-8.503808049078165,3.606254308440771,4.086061694390306,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp16,9,0.4244807318633622,0.4011564158074549,0.4491611865675343,0.41705578034467383,-58.294421965532614,0.11755450777777776,0.27754805000000005,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp32,9,0.549754959021897,0.49849816202421643,0.6062821049167391,0.5369673388627061,-46.30326611372939,0.15458174333333333,0.2818761855555556,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=mobilenet_v2|precision=fp64,9,1.1046711749437976,1.0485695381676887,1.1637744187038916,1.0757615292263727,7.576152922637269,0.5534234188888889,0.4944627555555555,0.00390625,1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp16,9,0.4520513134141617,0.4175341696401748,0.48942195589782517,0.4632156784265437,-53.678432157345625,0.1618520111111111,0.35930180666666667,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp32,9,0.6704938449045117,0.6248533964416411,0.7194679561877404,0.6729807122708069,-32.70192877291931,0.2818182266666666,0.41994086111111106,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_integrated_log_timestamps,model=resnet50|precision=fp64,9,0.9911896260656907,0.8983878713101243,1.0935776252049365,1.0267112984108342,2.6711298410834194,4.044276756666666,4.091899841111111,0.12890625,0.6,0.515625
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp16,9,0.10416237929057637,0.09774907452043978,0.1109964601987628,0.10350788686854295,-89.6492113131457,0.01898294360030793,0.18210474675081145,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp32,9,0.2332146935953521,0.21105924854679592,0.2576958540469495,0.23300140504385652,-76.69985949561435,0.04096447110821452,0.17553571175033986,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=mobilenet_v2|precision=fp64,9,1.0321509130272064,0.9817029354330813,1.085191322966677,1.001561140125208,0.1561140125208027,0.38723513970883383,0.3701603778517584,0.359375,0.37777777777777777,1.0
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp16,9,0.18886576824807538,0.17474236409432656,0.2041306846271164,0.1915601652061933,-80.84398347938067,0.04566030002396013,0.2419179093485163,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp32,9,0.48465028860739,0.4452540495539287,0.5275323211154248,0.4946371903617936,-50.53628096382064,0.13210309994000935,0.2713524209844637,0.00390625,-1.0,0.14453125
batch,128,1,energy_per_img_J_power_over_throughput_proxy,model=resnet50|precision=fp64,9,0.8838980823594632,0.7980301843244589,0.9790053501047642,0.9249919256734812,-7.500807432651879,3.4703074722066023,3.9427271425688772,0.00390625,-1.0,0.14453125
