prefix,model,precision,profile,batch,metric,n_devices,mean,sd,cv,min,max,max_to_min_ratio
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,energy_per_img_J_integrated_log_timestamps,4,0.1695961975,0.024644452991652268,0.14531253268017563,0.14975039999999998,0.20327351999999999,1.3574155394576577
resnet50_fp16_fast_BS8,resnet50,fp16,fast,8,energy_per_img_J_power_over_throughput_proxy,4,0.0558532551755678,0.009855211562969835,0.1764482935146966,0.05040266685439747,0.07059422653039198,1.4006049865242967
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,throughput_img_s,4,29.036464116715415,0.7739480517481094,0.026654349118995207,28.261935783112662,29.88214369981884,1.0573282711113619
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,latency_avg_ms,4,34.45778643927144,0.9170475912082865,0.026613653573612322,33.46480125540867,35.383280454466586,1.0573282711113619
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,avg_power_W,4,6.2015103662064615,0.5368505837985966,0.08656771529787743,5.762513325608342,6.946671799027552,1.2054934030532936
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,energy_per_img_J_avg_power_times_meta_duration,4,0.3136441859092735,0.024111557265804946,0.0768755116435654,0.2896176618502493,0.3438052589123229,1.1871004576029345
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,energy_per_img_J_integrated_log_timestamps,4,0.315957625,0.024329494258557204,0.07700239631361074,0.29170809000000003,0.3463890700000001,1.1874510233843705
resnet50_fp16_medium_BS1,resnet50,fp16,medium,1,energy_per_img_J_power_over_throughput_proxy,4,0.21345555979240574,0.015233158186779035,0.07136454164789104,0.19876413141559401,0.23246899114100927,1.1695721430489996
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,throughput_img_s,4,139.246419609418,3.591059165164359,0.02578923878428739,134.19230700969348,142.27376165054187,1.0602229354344779
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,latency_avg_ms,4,114.96258014792576,3.018049257591459,0.02625244887256397,112.45924627549947,119.23187220295891,1.0602229354344779
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,avg_power_W,4,7.299785196837921,0.5431639720674021,0.0744082130392942,6.741820738137083,7.970044183949502,1.18217978399583
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,energy_per_img_J_avg_power_times_meta_duration,4,0.15443256259827307,0.015302226892061026,0.09908678995288615,0.13833890589998948,0.17522656172788237,1.2666470114673336
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,energy_per_img_J_integrated_log_timestamps,4,0.157596825,0.015549383521611603,0.09866558873639493,0.14114762,0.17867001,1.2658379220280156
resnet50_fp16_medium_BS16,resnet50,fp16,medium,16,energy_per_img_J_power_over_throughput_proxy,4,0.052418816621124215,0.0035828510369601708,0.06835047541909446,0.049204631795054264,0.05722363122068172,1.1629724506226968
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,throughput_img_s,4,86.61548139511717,1.370835772705534,0.015826683066646478,85.75047587560262,88.6608902582472,1.033940504153781
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,latency_avg_ms,4,46.189667135410645,0.7200068718317209,0.015588050672046041,45.11572112967726,46.646971450079896,1.033940504153781
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,avg_power_W,4,7.189364158734406,0.6226103847981893,0.08660159244288326,6.695410852713177,8.029327490039842,1.1992284964538245
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,energy_per_img_J_avg_power_times_meta_duration,4,0.18383226839473388,0.013589922642339533,0.0739256647432461,0.1722396207305032,0.20051810963003586,1.1641810913168402
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,energy_per_img_J_integrated_log_timestamps,4,0.18683435999999998,0.014024789965208034,0.07506536787563078,0.17466135000000002,0.20343015,1.1647118838827248
resnet50_fp16_medium_BS4,resnet50,fp16,medium,4,energy_per_img_J_power_over_throughput_proxy,4,0.08294708678222784,0.006052276459904042,0.07296550963620818,0.07777021230768952,0.09056222497487224,1.1644847337766353
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,throughput_img_s,4,107.07503646284374,2.558355009528877,0.0238931042570007,104.32955275448202,110.02109875845906,1.0545535359225675
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,latency_avg_ms,4,74.74591060419218,1.7831321115259373,0.02385591528837337,72.71332581001799,76.68009484164416,1.0545535359225675
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,avg_power_W,4,7.287973795489026,0.6037244681434818,0.08283845209722954,6.890508535489668,8.170981981981983,1.185831486877524
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,energy_per_img_J_avg_power_times_meta_duration,4,0.16472308136005756,0.013423515081204962,0.08149140345343205,0.15236744490029064,0.18034402124800308,1.1836125582208217
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,energy_per_img_J_integrated_log_timestamps,4,0.1673775375,0.013468057395440942,0.0804651424355012,0.15496145,0.18317343,1.182058053793379
resnet50_fp16_medium_BS8,resnet50,fp16,medium,8,energy_per_img_J_power_over_throughput_proxy,4,0.06803012792831305,0.004688856642658857,0.06892323718102887,0.06363702613479748,0.07426740938045531,1.1670471404986824
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,throughput_img_s,4,20.668373835067186,0.7640222972454472,0.03696576728011189,19.62955865617025,21.41210664460505,1.0908093768004552
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,latency_avg_ms,4,48.433704979758616,1.8258441898087214,0.03769780136728704,46.70255087917554,50.94358041950502,1.0908093768004552
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,avg_power_W,4,5.671276424968234,0.4964245997084097,0.0875331340794573,5.2443839261471625,6.3638944171246745,1.2134684467694896
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,energy_per_img_J_avg_power_times_meta_duration,4,0.40303381497513563,0.027718355842327482,0.06877426859093079,0.37925581452965185,0.4417891497952754,1.1648843152033848
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,energy_per_img_J_integrated_log_timestamps,4,0.4057320275,0.027825208338523262,0.06858026099140833,0.38165902,0.44460824,1.164935758625592
resnet50_fp16_slow_BS1,resnet50,fp16,slow,1,energy_per_img_J_power_over_throughput_proxy,4,0.2741716618903778,0.01719409209353704,0.06271287110777979,0.25670633231384116,0.2972101028054663,1.1577825140756812
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,throughput_img_s,4,97.61579848217953,1.3471964690010632,0.013801008545220306,96.82869038896176,99.63246911944888,1.0289560740646633
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,latency_avg_ms,4,163.93099735199763,2.231999218452337,0.013615480016019914,160.59021864466368,165.24028090979903,1.0289560740646633
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,avg_power_W,4,6.309340614816478,0.5374436407096161,0.08518222006393436,5.900571713147411,7.070054812834225,1.1981982690051916
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,energy_per_img_J_avg_power_times_meta_duration,4,0.18845112858270302,0.015277595392200638,0.08106926982661165,0.1762090973264408,0.20971902451872357,1.1901713799157774
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,energy_per_img_J_integrated_log_timestamps,4,0.19208043,0.015442885792748285,0.08039801760516824,0.17978616000000003,0.21365864,1.1884042687156786
resnet50_fp16_slow_BS16,resnet50,fp16,slow,16,energy_per_img_J_power_over_throughput_proxy,4,0.06459018996479893,0.004620182080308046,0.07153070896410127,0.06093825796305577,0.07096135301392531,1.1644795139524027
resnet50_fp16_slow_BS4,resnet50,fp16,slow,4,throughput_img_s,4,65.82750896432958,0.623351390551697,0.009469466494463232,65.28609499665512,66.72594982702206,1.0220545405639703
